BioMedtechTypeCopy,MA Bio Member,CompanyName,FName,LName,Title,AddressLine1,AddressLine2,City,State,Zip,NumEmplSt,address
Medical Device,,PRECISION SYSTEMS INC,Charles,Bell,Sales Manager,16 Tech Cir,,Natick,MA,01760,25,"16 Tech Cir, Natick, MA 01760"
Medical Device,,PRECISION TOOL & DIE,Mike,Driscoll,Operations Manager Tool Room,22 Manchester Rd,,Derry,NH,03038,0,"22 Manchester Rd, Derry, NH 03038"
Drug Development,,PRECLINICAL &  REGULATORY CONSULTING,Mary,Sherman,Principal,67 Monadnock Dr,,Westford,MA,01886,1,"67 Monadnock Dr, Westford, MA 01886"
Human Diagnostic Development,MA Bio Member,PREDICTIVE BIOSCIENCES,Peter,Klemm,President/CEO,128 Spring St,B Annex 400 Level,Lexington,MA,02421,23,"128 Spring St B Annex 400 Level, Lexington, MA 02421"
Research Products & Instrumentation,MA Bio Member,PRESSURE BIOSCIENCES INC,Richard,Schumacher,CEO/President,14 Norfolk Ave,,S Easton,MA,02375,6,"14 Norfolk Ave, S Easton, MA 02375"
Research Products & Instrumentation,MA Bio Member,PRIMERADX,Matthew,McManus,President/CEO,171 Forbes Blvd,Suite 2000,Mansfield,MA,02048,40,"171 Forbes Blvd Suite 2000, Mansfield, MA 02048"
Medical Device,,PRIMROSE MEDICAL INC,Fletcher,Longley,President,478 High Plain St,,Walpole,MA,02081,10,"478 High Plain St, Walpole, MA 02081"
Research Products & Instrumentation,,PRIOR SCIENTIFIC INC,Tom,Freda,President,80 Reservoir Park Dr,,Rockland,MA,02370,30,"80 Reservoir Park Dr, Rockland, MA 02370"
Agricultural/Industrial Biotechnology,,PRO-ACT BIOTECH,Bill,Donohue,COO,P O Box 345,,Warren,RI,02885,10,"P O Box 345, Warren, RI 02885"
Medical Device,,PRODUCT RESOURCES INC,John,Erickson,President/CEO,4 Mulliken Way,,Newburyport,MA,01950,40,"4 Mulliken Way, Newburyport, MA 01950"
Agricultural/Industrial Biotechnology,,PRODYNE CORP,Steven,Africk,President/CEO,30 Fenwick Rd,,Newton,MA,02468,2,"30 Fenwick Rd, Newton, MA 02468"
Human Diagnostic Development,,PROGENIKA INC,Antonio,Martinez,Co-CEO,200 Rivers Edge Dr,1st floor,Medford,MA,02155,6,"200 Rivers Edge Dr 1st floor, Medford, MA 02155"
Contract Research & Manufacturing,MA Bio Member,PROMEDDX LLC,Jim,Boushell,CEO,10 Commerce Way,,Norton,MA,02766,15,"10 Commerce Way, Norton, MA 02766"
Medical Device,,"PROMETHEUS GROUP, THE",Richard,Poore,Principal,One Washington St,Suite 303,Dover,NH,03820,10,"One Washington St Suite 303, Dover, NH 03820"
Medical Device,,PROMOLD PLASTICS,N Richard,Puglielli,President,91 Main St,,Portland,CT,06480,0,"91 Main St, Portland, CT 06480"
Drug Development,,PROTEIN SCIENCES CORP,Manon,Cox,CEO,1000 Research Pkwy,,Meriden,CT,06450,37,"1000 Research Pkwy, Meriden, CT 06450"
Drug Development,MA Bio Member,PROTEOSTASIS THERAPEUTICS INC,Mark,Enyedy,CEO,200 Technology Sq,Suite 402,Cambridge,MA,02139,40,"200 Technology Sq Suite 402, Cambridge, MA 02139"
Drug Development,,PROTHELIA INC,Rich,Cloud,CEO,30 Haven St,,Milford,MA,01757,0,"30 Haven St, Milford, MA 01757"
Drug Development,,PROTHERA BIOLOGICS LLC,Yow-Pin,Lim,President/CSO,551 Warren Ave,,E Providence,RI,02914,0,"551 Warren Ave, E Providence, RI 02914"
Medical Device,,PROTOPEUTICS INC,Evie,Hawley,President,38 Mulberry St,,Leeds,MA,01053,1,"38 Mulberry St, Leeds, MA 01053"
Drug Development,MA Bio Member,PROVASCULON INC,Anthony,Sandrasagra,CSO,161 First St,Suite 1A,Cambridge,MA,02142,5,"161 First St Suite 1A, Cambridge, MA 02142"
Medical Device,,PROVEN PROCESS MEDICAL DEVICES INC,Kenneth,Fine,President/Co-Founder,110 Forbes Blvd,,Mansfield,MA,02048,100,"110 Forbes Blvd, Mansfield, MA 02048"
Drug Development,,PROVENANCE BIOPHARMACEUTICALS CORP,Stephen,Gillies,CEO,1 Garfield Cir,,Burlington,MA,01803,6,"1 Garfield Cir, Burlington, MA 01803"
Medical Device,,PROXY MANUFACTURING INC,Shawn,Foy,President,55 Chase St,,Methuen,MA,01844,35,"55 Chase St, Methuen, MA 01844"
Medical Device,MA Bio Member,PSIVIDA CORP,Paul,Ashton,President/CEO,400 Pleasant St,,Watertown,MA,02472,25,"400 Pleasant St, Watertown, MA 02472"
Research Products & Instrumentation,,PSYCHEMEDICS CORP,Raymond,Kubacki Jr,President/CEO,125 Nagog Park,,Acton,MA,01720,88,"125 Nagog Park, Acton, MA 01720"
Drug Development,MA Bio Member,PULMATRIX INC,Robert,Connolly,CEO,99 Hayden Ave,Suite 390,Lexington,MA,02421,,"99 Hayden Ave Suite 390, Lexington, MA 02421"
Drug Development,,PURDUE PHARMA LP,John,Stewart,President/CEO,1 Stamford Forum,201 Tressor Blvd,Stamford,CT,06901,0,"1 Stamford Forum 201 Tressor Blvd, Stamford, CT 06901"
Medical Device,,PUTNEY INC,Jean,Hoffman,Chairman/President/CEO,400 Congress St,Suite 200,Portland,ME,04101,13,"400 Congress St Suite 200, Portland, ME 04101"
Drug Development,,QTEROS,Mick,Sawka,CEO,100 Campus Dr,6th Floor,Marlborough,MA,01752,45,"100 Campus Dr 6th Floor, Marlborough, MA 01752"
Medical Device,,QUALITY INNOVATIONS LLC,Bruce,Witte,President,14 Autumn St,,Windham,NH,03087,1,"14 Autumn St, Windham, NH 03087"
BioInformatics,,QUALITYMETRIC INC,Gus,Gardner,President/COO,24 Albion Rd,Bldg 400,Lincoln,RI,02865,,"24 Albion Rd Bldg 400, Lincoln, RI 02865"
Drug Development,MA Bio Member,QUANTERIX CORP,Martin,Madaus,Chairman/CEO,1 Kendall Sq,Suite B14201,Cambridge,MA,02139,29,"1 Kendall Sq Suite B14201, Cambridge, MA 02139"
Contract Research & Manufacturing,MA Bio Member,QUANTICATE,Daniel,Chapple,Commercial VP,101 Main St,Suite 1720,Cambridge,MA,02142,12,"101 Main St Suite 1720, Cambridge, MA 02142"
BioInformatics,,QUERALT INC,Michael,Queralt,CEO,250 State St,,N Haven,CT,06473,7,"250 State St, N Haven, CT 06473"
Contract Research & Manufacturing,,QUICK-MED TECHNOLOGIES INC,Jerry,Olderman,VP R&D,17 Pickman Dr,,Bedford,MA,01730,2,"17 Pickman Dr, Bedford, MA 01730"
Drug Development,MA Bio Member,RA PHARMACEUTICALS,Douglas,Treco,President/CEO,One Kendall Sq,Suite B14301,Cambridge,MA,02139,16,"One Kendall Sq Suite B14301, Cambridge, MA 02139"
BioInformatics,,RADIANT SAGE LLC,Ven,Thangaraj,CEO/President,464 Common St,Suite 133,Belmont,MA,02478,0,"464 Common St Suite 133, Belmont, MA 02478"
Medical Device,,RADIATION MONITORING DEVICES INC,Steve,Rugary,President,44 Hunt St,,Watertown,MA,02472,80,"44 Hunt St, Watertown, MA 02472"
Drug Development,MA Bio Member,RADIUS HEALTH INC,Michael,Wyzga,CEO,201 Broadway,6th Floor,Cambridge,MA,02139,11,"201 Broadway 6th Floor, Cambridge, MA 02139"
Medical Device,,RADIUS MEDICAL TECHNOLOGIES INC,Rich,DeMello,Vice President,15 Craig Rd,,Acton,MA,01720,0,"15 Craig Rd, Acton, MA 01720"
Medical Device,,RADIUS PRODUCT DEVELOPMENT,Keith,Kiernan,Global Director Business Dev't,200 Union St,,Clinton,MA,01510,30,"200 Union St, Clinton, MA 01510"
Research Products & Instrumentation,MA Bio Member,RAINDANCE TECHNOLOGIES INC,S Roopom,Banerjee,President/CEO,44 Hartwell Ave,,Lexington,MA,02421,,"44 Hartwell Ave, Lexington, MA 02421"
Agricultural/Industrial Biotechnology,,RALPH BRILL ASSOCIATES,Ralph,Brill,President,Box 786,,N Adams,MA,01247,7,"Box 786, N Adams, MA 01247"
Medical Device,,RANFAC CORP,Bob,Adler,CEO,30 Doherty Ave,,Avon,MA,02322,50,"30 Doherty Ave, Avon, MA 02322"
Research Products & Instrumentation,MA Bio Member,RAPID MICRO BIOSYSTEMS,Steve,Delity,President/CEO,One Oak Park Dr,,Bedford,MA,01730,50,"One Oak Park Dr, Bedford, MA 01730"
Medical Device,,RAZEL SCIENTIFIC INSTRUMENTS INC,Steve,Jarvis,President,PO Box 111,,St Albans,VT,05478,10,"PO Box 111, St Albans, VT 05478"
Medical Device,,REFLECTANCE MEDICAL INC,Richard,Ganz,CEO,116 Flanders Rd,Suite 1000,Westborough,MA,01581,10,"116 Flanders Rd Suite 1000, Westborough, MA 01581"
Contract Research & Manufacturing,,REGENOCELL THERAPEUTICS INC,James,Mongiardo,CEO/Director,2 Briar Lane,,Natick,MA,01760,1,"2 Briar Lane, Natick, MA 01760"
BioInformatics,,REGULATORY SCIENCE INC,Leona,Saunders,Head Compliance Training,322 Warren St,,Roxbury,MA,02119,5,"322 Warren St, Roxbury, MA 02119"
Medical Device,,REHAB SEATING SYSTEMS INC,Harold,Sharff,President,8 Alton Pl,Suite 3,Brookline,MA,02446,4,"8 Alton Pl Suite 3, Brookline, MA 02446"
Contract Research & Manufacturing,,REMTEC INC,Nahum,Rapoport,President/CEO,100 Morse St,,Norwood,MA,02062,45,"100 Morse St, Norwood, MA 02062"
Medical Device,,RENCO CORP,Richard,Renehan,CEO,5 Beaver Dam Rd,P O Box 412,Manchester,MA,01944,6,"5 Beaver Dam Rd P O Box 412, Manchester, MA 01944"
Drug Development,MA Bio Member,REPLIGEN CORP,Walter,Herlihy,CEO/President,41 Seyon St,Suite 100,Waltham,MA,02453,70,"41 Seyon St Suite 100, Waltham, MA 02453"
Drug Development,,REPLIKINS LTD,Samuel,Bogoch,Chairman,38 The Fenway,,Boston,MA,02215,,"38 The Fenway, Boston, MA 02215"
Human Diagnostic Development,,REPROSOURCE INC,Benjamin,Leader,CEO,300 TradeCenter,Suite 6540,Woburn,MA,01801,40,"300 TradeCenter Suite 6540, Woburn, MA 01801"
Drug Development,,RESOLVYX PHARMACEUTICALS INC,James,Nichols,President/CEO,25 First St,,Cambridge,MA,02141,26,"25 First St, Cambridge, MA 02141"
Medical Device,,RESONANCE RESEARCH INC,,,,5 Fortune Dr,,Billerica,MA,01821,0,"5 Fortune Dr, Billerica, MA 01821"
Medical Device,,RESONETICS INC,Cliff,Gabay,CEO/President,4 Bud Way,,Nashua,NH,03063,125,"4 Bud Way, Nashua, NH 03063"
Medical Device,,RESPIRATORY DELIVERY SYSTEMS INC,Walter,Makiej Jr,President/CEO,6 Courthouse La,Suite 8,Chelmsford,MA,01824,1,"6 Courthouse La Suite 8, Chelmsford, MA 01824"
Medical Device,,RESPIRATORY MOTION INC,Jenny,Freeman,Co-Founder/CEO,305 Second Ave,,Waltham,MA,02451,0,"305 Second Ave, Waltham, MA 02451"
Contract Research & Manufacturing,,RESTECH PLASTIC MOLDING,Richard,McKenney,VP Business Dev't,34 Tower St,,Hudson,MA,01749,100,"34 Tower St, Hudson, MA 01749"
Research Products & Instrumentation,MA Bio Member,RESURFX LLC,Suresh,Gopalan,"Co-founder, CEO",12220 Main Campus Dr,,Lexington,MA,02421,0,"12220 Main Campus Dr, Lexington, MA 02421"
Drug Development,MA Bio Member,RHYTHM,Keith,Gottesdiener,CEO,855 Boylston St,11th Floor,Boston,MA,02116,0,"855 Boylston St 11th Floor, Boston, MA 02116"
Medical Device,,RHYTHMIA MEDICAL INC,Doron,Harlev,Co-CEO/Founder,111 S Bedford St,Suite 205,Burlington,MA,01803,,"111 S Bedford St Suite 205, Burlington, MA 01803"
Drug Development,MA Bio Member,RIB-X PHARMACEUTICALS INC,Mark,Leuchtenberger,President/CEO,300 George St,Suite 301,New Haven,CT,06511,41,"300 George St Suite 301, New Haven, CT 06511"
Medical Device,,RIGAKU AMERICA,Dave,Mahoney,COO,7A Raymond Ave,Suite 4A,Salem,NH,03079,12,"7A Raymond Ave Suite 4A, Salem, NH 03079"
Medical Device,,ROBERT DEFELICE & ASSOCIATES,Robert,DeFelice,Principal,85 Constitution Ln,Suite 200E,Danvers,MA,01923,5,"85 Constitution Ln Suite 200E, Danvers, MA 01923"
Medical Device,,ROUSH LIFE SCIENCES,Dean,Massab,CEO,8E Industrial Way,Suite 1,Salem,NH,03079,0,"8E Industrial Way Suite 1, Salem, NH 03079"
Research Products & Instrumentation,,ROWLEY BIOCHEMICAL INSTITUTE INC,,,,10 Electronics Ave,,Danvers,MA,01923,14,"10 Electronics Ave, Danvers, MA 01923"
Drug Development,MA Bio Member,RXI PHARMACEUTICALS CORP,Mark,Ahn,President/CEO,60 Prescott St,,Worcester,MA,01605,32,"60 Prescott St, Worcester, MA 01605"
Medical Device,,RYNEL INC,James,Detert,Site Director,11 Twin Rivers Dr,,Wiscasset,ME,04578,70,"11 Twin Rivers Dr, Wiscasset, ME 04578"
Research Products & Instrumentation,MA Bio Member,SAGE SCIENCE INC,Gary Paul,Magnant,CEO,500 Cummings Center,Suite 3150,Beverly,MA,01915,17,"500 Cummings Center Suite 3150, Beverly, MA 01915"
Drug Development,,SAGE THERAPEUTICS,Kevin,Starr,CEO,29 Newbury St,,Boston,MA,02116,0,"29 Newbury St, Boston, MA 02116"
Research Products & Instrumentation,,SAINT-GOBAIN PERFORMANCE PLASTICS,,,,700 Joseph E Warner Blvd,,Taunton,MA,02780,60,"700 Joseph E Warner Blvd, Taunton, MA 02780"
Medical Device,,SALIENT SURGICAL TECHNOLOGIES INC,Joseph,Army,CEO,180 International Dr,,Portsmouth,NH,03801,100,"180 International Dr, Portsmouth, NH 03801"
Research Products & Instrumentation,,SAMPLE6 TECHNOLOGIES INC,Micah,Rosenbloom,CEO,27 Drydock Ave,,Boston,MA,02210,12,"27 Drydock Ave, Boston, MA 02210"
Drug Development,MA Bio Member,SANOFI ONCOLOGY,,,,300 Third St,,Cambridge,MA,02142,300,"300 Third St, Cambridge, MA 02142"
Drug Development,MA Bio Member,SANOFI PASTEUR BIOLOGICALS,Jeffrey,Almond,VP Global Discovery Research/External R&D,38 Sidney St,,Cambridge,MA,02139,180,"38 Sidney St, Cambridge, MA 02139"
Drug Development,MA Bio Member,SANTHERA PHARMACEUTICALS (USA),William,Richmond,General Manager,40 Warren St,3rd Floor,Charlestown,MA,02129,2,"40 Warren St 3rd Floor, Charlestown, MA 02129"
Drug Development,MA Bio Member,SATORI PHARMACEUTICALS INC,Jeffrey,Ives,CEO,281 Albany St,,Cambridge,MA,02139,10,"281 Albany St, Cambridge, MA 02139"
Non-profit Research Institution,,"SCHEPENS EYE RESEARCH INSTITUTE INC, THE",Patricia,D'Amore,Research Co-Director,20 Staniford St,,Boston,MA,02114,200,"20 Staniford St, Boston, MA 02114"
Medical Device,,SCHUERCH CORP,Peter,Schuerch,President,50 Messina Dr,,Braintree,MA,02184,14,"50 Messina Dr, Braintree, MA 02184"
Drug Development,MA Bio Member,SCIDOSE LLC,Michael,Beaulieu,CFO,196 N Pleasant St,Suite 16,Amherst,MA,01002,3,"196 N Pleasant St Suite 16, Amherst, MA 01002"
Medical Device,,SCIESSENT LLC,Paul,Ford,CEO,60 Audubon Rd,,Wakefield,MA,01880,0,"60 Audubon Rd, Wakefield, MA 01880"
Drug Development,MA Bio Member,SCIFLUOR LIFE SCIENCES LLC,Arthur,Hiller,CEO,33 Arch St,Suite 3201,Boston,MA,02110,0,"33 Arch St Suite 3201, Boston, MA 02110"
Contract Research & Manufacturing,MA Bio Member,SCIVAX USA INC,Hiromi,Miura,President,100 TradeCenter,Suite G700,Woburn,MA,01801,0,"100 TradeCenter Suite G700, Woburn, MA 01801"
Drug Development,,SCOT-TUSSIN PHARMACAL CO INC,Salvatore,Scotti,CEO,32 W Hamden Rd,PO Box 8217,Cranston,RI,02920,,"32 W Hamden Rd PO Box 8217, Cranston, RI 02920"
Medical Device,,SEABOARD METAL FINISHING CO INC,Steve,Tarantino,President,50 Fresh Meadow Rd,,W Haven,CT,06516,45,"50 Fresh Meadow Rd, W Haven, CT 06516"
Medical Device,,SEABROOK INTERNATIONAL LLC,,,,15 Woodworkers Way,,Seabrook,NH,03874,,"15 Woodworkers Way, Seabrook, NH 03874"
BioInformatics,,SEACOAST LABORATORY DATA SYSTEMS INC,Suzanne,Ray,Account Rep,195 New Hampshire Ave,Suite 140,Portsmouth,NH,03801,25,"195 New Hampshire Ave Suite 140, Portsmouth, NH 03801"
Research Products & Instrumentation,MA Bio Member,SEAHORSE BIOSCIENCE,Jay,Teich,CEO,16 Esquire Rd,,Billerica,MA,01810,150,"16 Esquire Rd, Billerica, MA 01810"
Drug Development,MA Bio Member,SEASIDE THERAPEUTICS INC,Randall,Carpenter,Co-Founder/President/CEO,840 Memorial Dr,5th Floor,Cambridge,MA,02139,32,"840 Memorial Dr 5th Floor, Cambridge, MA 02139"
Research Products & Instrumentation,,SEATECH BIOPRODUCTS CORP,James,Hughes,CEO,159 Memorial Dr,#C,Shrewsbury,MA,01545,0,"159 Memorial Dr #C, Shrewsbury, MA 01545"
Contract Research & Manufacturing,MA Bio Member,SEEDING LABS,Nina,Dudnik,CEO,281 Summer St,5th fl,Boston,MA,02210,3,"281 Summer St 5th fl, Boston, MA 02210"
Drug Development,MA Bio Member,SELECTA BIOSCIENCES INC,Werner,Cautreels,CEO,480 Arsenal St,,Watertown,MA,02472,0,"480 Arsenal St, Watertown, MA 02472"
Drug Development,,SELECTX PHARMACEUTICALS INC,Michael,Chaparian,CEO,607 Boylston St LL,,Boston,MA,02116,20,"607 Boylston St LL, Boston, MA 02116"
Drug Development,MA Bio Member,SELVENTA,Jim,Matheson,Chairman,One Alewife Center,,Cambridge,MA,02140,31,"One Alewife Center, Cambridge, MA 02140"
Agricultural/Industrial Biotechnology,,SEMBIOSYS GENETICS INC,Rick,Pierce,President US/Int'l Operations,Suite #43,3 Concord Ave,Cambridge,MA,02138,1,"Suite #43 3 Concord Ave, Cambridge, MA 02138"
Research Products & Instrumentation,,SEMIPROBE INC,Denis,Place,President/CEO,276 E Allen St,,Winooski,VT,05404,11,"276 E Allen St, Winooski, VT 05404"
Medical Device,MA Bio Member,SEMPRUS BIOSCIENCES CORP,David,Lucchino,CEO,One Kendall Sq,Building 1400W 1st floor,Cambridge,MA,02139,32,"One Kendall Sq Building 1400W 1st floor, Cambridge, MA 02139"
Contract Research & Manufacturing,,SENOPSYS LLC,Jeffrey,Worthington,President,800 W Cummings Park,Suite 1500,Woburn,MA,01801,0,"800 W Cummings Park Suite 1500, Woburn, MA 01801"
Medical Device,,SENSABLE TECHNOLOGIES INC,Carmichael,Roberts,Chairman,181 Ballardvale St,,Wilmington,MA,01887,0,"181 Ballardvale St, Wilmington, MA 01887"
Medical Device,,SENTICARE INC,Yogendra,Jain,CTO/Founder,132 Turnpike Rd,Suite 130,Southborough,MA,01772,0,"132 Turnpike Rd Suite 130, Southborough, MA 01772"
Research Products & Instrumentation,MA Bio Member,SERACARE LIFE SCIENCES INC,Greg,Gould,Interim CEO/CFO,37 Birch St,,Milford,MA,01757,250,"37 Birch St, Milford, MA 01757"
BioInformatics,,SEVEN BRIDGES GENOMICS,John,Sheffield,President,,,Cambridge,MA,02142,0,", Cambridge, MA 02142"
Human Diagnostic Development,MA Bio Member,SEVENTH SENSE BIOSYSTEMS INC,Doug,Levinson,President/CEO,286 Cardinal Medeiros Ave,,Cambridge,MA,02141,15,"286 Cardinal Medeiros Ave, Cambridge, MA 02141"
Medical Device,,SHIELDS HEALTH CARE GROUP,Thomas,Shields,CEO,700 Congress St,,Quincy,MA,02169,25,"700 Congress St, Quincy, MA 02169"
Medical Device,,SHINE WIRE PRODUCTS INC,Greg,Shine,President,25 Printworks Dr,,Adams,MA,01220,47,"25 Printworks Dr, Adams, MA 01220"
Medical Device,,SHINEMOUND ENTERPRISE INC,Gloria,Shiao,President,17A Sterling Rd,,N Billerica,MA,01862,3,"17A Sterling Rd, N Billerica, MA 01862"
Drug Development,MA Bio Member,SHIRE HUMAN GENETIC THERAPIES (HGT),Sylvie,Gregoire,President HGT,300 Patriot Way,,Lexington,MA,02421,1500,"300 Patriot Way, Lexington, MA 02421"
Drug Development,,SIBTECH INC,Joseph,Backer,CEO,115A Commerce Dr,,Brookfield,CT,06804,5,"115A Commerce Dr, Brookfield, CT 06804"
Drug Development,,SIGNABLOK INC,Alexander,Sigalov,President/Founder,PO Box 4064,,Shrewsbury,MA,01545,1,"PO Box 4064, Shrewsbury, MA 01545"
Medical Device,,SIMPLICITY ORTHOPEDICS INC,Barry,Bickley,CTO/Chairman/Founder,,,,MA,,0,", , MA "
Drug Development,MA Bio Member,SIRTRIS PHARMACEUTICALS INC,George,Vlasuk,CEO,200 Technology Sq,,Cambridge,MA,02139,,"200 Technology Sq, Cambridge, MA 02139"
Contract Research & Manufacturing,MA Bio Member,SISTEMIC LTD,Verna,McErlane,Director Commercial Operations,28 State St,Suite 2300,Boston,MA,02109,1,"28 State St Suite 2300, Boston, MA 02109"
BioInformatics,,SITEAVAIL INC,Daniel,Weddle,Founder/President,25 Leach Ln,,Natick,MA,01760,1,"25 Leach Ln, Natick, MA 01760"
Medical Device,,SKELSCAN INC,Karin,Wetmore,President,165 Pleasant St #102,,Cambridge,MA,02139,2,"165 Pleasant St #102, Cambridge, MA 02139"
Medical Device,,SLEEPNET CORP,Tom,Moulton,CEO/President,5 Merrill Industrial Dr,,Hampton,NH,03842,0,"5 Merrill Industrial Dr, Hampton, NH 03842"
Medical Device,,SMART ANIMAL INC,Catherine,McNeil,President,P O Box 269,,Marlborough,MA,01752,3,"P O Box 269, Marlborough, MA 01752"
Medical Device,,SMART HEALTH AND FITNESS LLC,Sean,O'Connor,CEO,66 Fort Point St,,Norwalk,CT,06855,0,"66 Fort Point St, Norwalk, CT 06855"
Medical Device,,SMC LTD,,,,32 Chocksett Rd,,Sterling,MA,01564,0,"32 Chocksett Rd, Sterling, MA 01564"
Medical Device,,SMC LTD,,,,30 Patriots Cir,,Leominster,MA,01453,56,"30 Patriots Cir, Leominster, MA 01453"
Medical Device,,SMITH & NEPHEW INC,Michael,Frazzette,President,150 Minuteman Rd,,Andover,MA,01810,1000,"150 Minuteman Rd, Andover, MA 01810"
Medical Device,,SMITHS MEDICAL ASD INC,Stuart,Morris-Hipkins,VP Global Sales/Marketing,600 Cordwainer Dr,,Norwell,MA,02061,50,"600 Cordwainer Dr, Norwell, MA 02061"
Medical Device,,SOFT TISSUE REGENERATION INC,Joseph,Reilly,President/CEO,142 Temple St,Suite 206,New Haven,CT,06510,,"142 Temple St Suite 206, New Haven, CT 06510"
Medical Device,,SOLOS ENDOSCOPY,,,,65 Sprague St,West B,Boston,MA,02136,14,"65 Sprague St West B, Boston, MA 02136"
Medical Device,,SOLX INC,Doug,Adams,President/CEO,230 Second Ave,Suite 120,Waltham,MA,02451,5,"230 Second Ave Suite 120, Waltham, MA 02451"
Research Products & Instrumentation,,SONICS & MATERIALS INC,Robert,Soloff,President,53 Church Hill Rd,,Newtown,CT,06470,65,"53 Church Hill Rd, Newtown, CT 06470"
Medical Device,,SONTEK MEDICAL INC,,,,20 Pond Park Rd,,Hingham,MA,02043,0,"20 Pond Park Rd, Hingham, MA 02043"
Medical Device,,SOTEIRA INC,Larry,Jasinski,President/CEO,14 Tech Cir,,Natick,MA,01760,10,"14 Tech Cir, Natick, MA 01760"
Medical Device,,SOUNDWAVE RESEARCH LABORATORIES INC,,,,72 Nickerson Rd,,Ashland,MA,01721,7,"72 Nickerson Rd, Ashland, MA 01721"
Research Products & Instrumentation,,SPECTRAL EVOLUTION INC,Dennis,Witz,President/CEO,90 Sutton St,Unit 4,N Andover,MA,01845,7,"90 Sutton St Unit 4, N Andover, MA 01845"
Medical Device,,SPECTRUM PLASTICS GROUP,David,Kelly,GM,401 Birmingham Blvd,,Ansonia,CT,06410,85,"401 Birmingham Blvd, Ansonia, CT 06410"
Medical Device,,SPINE WAVE INC,Terry,Brennan,CFO,3 Enterprise Dr,Suite 210,Shelton,CT,06484,0,"3 Enterprise Dr Suite 210, Shelton, CT 06484"
Medical Device,,SPINEFRONTIER INC,,,,500 Cummings Center,Suite 3500,Beverly,MA,01915,,"500 Cummings Center Suite 3500, Beverly, MA 01915"
Medical Device,,SPIROMETRICS MEDICAL EQUIPMENT CO,Walter,Hebold,General Manager,22 Shaker Rd,PO Box 680,Gray,ME,04039,20,"22 Shaker Rd PO Box 680, Gray, ME 04039"
Medical Device,,SPLASH SHIELD,Patrick,Grant,President,8 Cedar St #61,,Woburn,MA,01801,3,"8 Cedar St #61, Woburn, MA 01801"
Medical Device,,SPRING MANUFACTURING CORP,Roger,Desmarias,CEO/President,2235 Main St,,Tewksbury,MA,01876,13,"2235 Main St, Tewksbury, MA 01876"
Medical Device,MA Bio Member,SPRINGLEAF THERAPEUTICS INC,Glenn,Larsen,CSO/EVP R&D,8 St Mary's St,,Boston,MA,02215,14,"8 St Mary's St, Boston, MA 02215"
Agricultural/Industrial Biotechnology,,SPS ALFACHEM,Syed,Rizvi,Vice President,237 Worthen Rd East,,Lexington,MA,02421,3,"237 Worthen Rd East, Lexington, MA 02421"
Medical Device,,SRC MEDICAL INC,,,,263 Winter St,,Hanover,MA,02339,85,"263 Winter St, Hanover, MA 02339"
Medical Device,,SRS MEDICAL SYSTEMS INC,Kevin,Connolly,CEO,76 Treble Cove Rd,Bldg 2,Billerica,MA,01862,15,"76 Treble Cove Rd Bldg 2, Billerica, MA 01862"
Medical Device,,STATIC SOLUTIONS INC,Lenard,Cohen,President,43  Broad  St,,Hudson,MA,01749,26,"43  Broad  St, Hudson, MA 01749"
Medical Device,,STATVIDEO LLC,Al,Kyle,President/Founder,PO Box 491,,Andover,MA,01810,2,"PO Box 491, Andover, MA 01810"
Medical Device,,STD MED INC,Francis,Fedorowicz Jr,EVP/COO,75 Mill St,,Stoughton,MA,02072,180,"75 Mill St, Stoughton, MA 02072"
Medical Device,,STEELCRAFT INC,,,,115 W Main St,,Millbury,MA,01527,35,"115 W Main St, Millbury, MA 01527"
Research Products & Instrumentation,,STEMGENT INC,Ian,Ratcliffe,President,1 Kendall Sq,Suite B6201,Cambridge,MA,02139,30,"1 Kendall Sq Suite B6201, Cambridge, MA 02139"
Research Products & Instrumentation,,STERIS-ISOMEDIX SERVICES,Jody,Dean,Plant Manager,435 Whitney St,,Northborough,MA,01532,52,"435 Whitney St, Northborough, MA 01532"
Medical Device,,STREAM PRODUCT DEVELOPMENT INC,Derek,Riemer,Principal,313 Littleton Rd,Suite 14,Chelmsford,MA,01824,3,"313 Littleton Rd Suite 14, Chelmsford, MA 01824"
Research Products & Instrumentation,,STREM CHEMICALS INC,Michael,Strem,President,7 Mulliken Way,,Newburyport,MA,01950,42,"7 Mulliken Way, Newburyport, MA 01950"
Medical Device,,STROHL MEDICAL TECHNOLOGIES INC,,,,126 Prospect St,,Norwell,MA,02061,0,"126 Prospect St, Norwell, MA 02061"
Medical Device,,STROMATEC INC,Robert,Davis,Founder/President/CEO,431 Pine St,Suite 214,S Burlington,VT,05403,,"431 Pine St Suite 214, S Burlington, VT 05403"
Medical Device,,STRYKER BIOTECH,,,,One Broadway,14th Floor,Cambridge,MA,02142,285,"One Broadway 14th Floor, Cambridge, MA 02142"
Drug Development,MA Bio Member,SUNOVION PHARMACEUTICALS INC,Mark,Iwicki,President/COO,84 Waterford Dr,,Marlborough,MA,01752,699,"84 Waterford Dr, Marlborough, MA 01752"
Medical Device,,SUNRISE LABS INC,Drew,Sunstein,President/CTO,5 Dartmouth Dr,,Auburn,NH,03032,30,"5 Dartmouth Dr, Auburn, NH 03032"
Medical Device,,SUPERCONDUCTING SYSTEMS INC,,,,5 Fortune Dr,,Billerica,MA,01821,0,"5 Fortune Dr, Billerica, MA 01821"
